tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,day
928,953,6,18,17
779,789,14,18,15
1134,1149,10,22,30
784,797,16,30,31
1074,1088,21,2,26
599,628,5,26,16
392,408,23,13,9
809,820,14,26,21
427,432,24,16,30
907,917,20,20,11
63,86,5,11,24
23,44,17,27,29
698,703,16,24,3
1392,1424,8,5,10
1436,1471,27,3,28
375,413,15,8,14
480,502,17,3,4
1243,1269,27,19,17
904,916,3,1,21
1181,1192,28,21,17
268,276,24,2,5
216,218,10,18,30
806,806,18,18,8
266,277,9,8,8
276,300,25,3,22
446,463,2,29,16
1393,1415,17,14,7
232,243,8,9,18
793,803,20,20,10
667,690,8,30,5
1338,1338,16,16,17
980,999,17,16,30
430,447,3,5,6
523,538,30,24,13
866,892,10,4,14
575,577,23,11,30
1388,1411,11,24,5
519,556,5,27,11
613,643,5,25,4
293,304,25,24,15
1195,1208,18,22,2
8,13,18,21,24
1221,1258,5,27,20
451,473,26,7,25
784,820,4,5,21
2,23,24,29,26
598,598,8,8,3
607,631,23,20,9
82,111,9,5,31
120,132,19,19,2
1316,1336,24,18,24
815,832,10,16,3
984,1006,17,3,16
1277,1298,27,17,26
323,361,7,5,27
1249,1261,1,25,14
551,551,2,2,27
1050,1056,23,12,26
663,668,22,29,19
1292,1302,24,14,31
1275,1289,19,29,28
958,982,23,20,29
109,120,28,21,28
427,434,21,10,14
1219,1222,21,29,6
36,52,23,15,21
366,396,25,27,4
382,399,8,18,19
654,675,9,4,20
535,565,3,16,4
1193,1210,13,20,23
240,240,9,9,6
1227,1244,25,9,29
1145,1167,3,17,27
1199,1209,18,14,5
1127,1159,15,13,1
675,714,6,15,11
1221,1226,1,11,14
679,711,24,3,1
1412,1431,24,12,27
1208,1232,4,18,16
901,921,21,6,18
356,364,9,26,11
746,757,14,26,6
836,858,22,2,14
1241,1267,4,10,20
1393,1420,22,4,30
1024,1046,20,10,21
47,67,9,1,21
1335,1357,16,6,23
1181,1189,29,18,18
602,626,3,6,4
751,767,26,16,1
784,808,27,29,29
277,287,12,18,16
1173,1173,16,16,14
199,210,21,30,10
75,104,27,22,25
607,620,4,26,20
144,172,27,18,17
403,414,25,20,23
123,146,1,15,10
211,225,25,29,7
1274,1289,19,2,2
580,611,20,3,28
917,941,9,30,12
178,198,20,18,15
385,411,9,19,18
106,110,13,26,31
555,574,4,21,23
1161,1161,15,15,14
407,407,14,14,4
151,162,27,8,5
191,232,4,15,27
926,943,29,6,2
269,269,23,23,2
1044,1055,17,11,9
723,741,2,11,31
1036,1054,18,9,28
988,1016,28,15,25
1331,1353,10,20,26
670,693,15,10,6
317,339,8,21,31
426,438,1,3,14
463,473,30,12,4
599,612,30,16,19
1000,1018,14,29,30
474,498,17,6,30
613,638,8,25,27
695,725,3,16,11
1153,1177,16,27,14
41,76,27,3,28
186,203,29,2,11
1381,1400,9,17,31
641,666,16,22,2
934,957,28,14,12
825,840,17,30,16
1254,1281,5,2,20
1406,1420,26,12,27
910,921,26,14,2
125,142,25,9,2
355,371,15,23,25
1134,1150,13,28,11
424,446,12,27,21
1139,1166,2,27,29
1268,1273,27,4,13
130,142,3,1,23
483,494,24,25,16
1052,1072,26,23,3
1264,1295,3,9,25
343,343,17,17,6
1244,1266,21,15,29
1004,1010,23,12,5
767,790,11,4,26
563,587,26,30,22
978,984,21,23,26
895,903,2,24,19
998,1005,23,10,18
1106,1136,25,27,26
400,410,14,18,25
25,52,14,6,26
923,934,17,11,30
1252,1260,21,22,18
1213,1233,10,2,10
1251,1275,9,30,24
370,385,2,1,4
1378,1398,9,23,15
476,512,5,4,11
627,647,20,18,16
913,935,17,14,24
195,227,24,3,16
340,355,21,14,2
1296,1318,29,4,10
1312,1342,27,25,14
606,608,23,11,26
1396,1415,24,7,5
261,283,16,12,29
611,633,26,7,7
589,625,9,15,8
472,494,3,17,7
152,168,2,30,29
1106,1124,11,2,26
97,113,13,28,28
952,959,12,22,4
482,488,28,19,15
679,700,26,24,24
935,973,5,7,10
921,937,23,30,27
1157,1186,6,13,21
152,169,4,13,22
996,1028,5,8,28
788,795,10,23,6
1374,1404,3,4,26
1318,1330,1,28,15
1126,1137,17,1,8
842,842,26,26,12
714,752,7,5,15
906,911,12,17,31
569,573,9,13,18
787,799,11,22,7
895,920,13,5,13
1397,1411,12,26,15
229,262,17,7,3
1014,1036,22,6,30
385,408,15,10,9
1154,1179,16,22,14
1105,1112,23,1,18
19,31,19,19,6
802,842,15,20,20
544,572,27,23,2
305,332,10,6,19
1303,1309,23,21,31
1249,1265,12,25,18
185,204,11,14,30
378,394,25,12,2
922,937,11,25,29
315,331,10,9,19
1215,1253,29,7,8
653,653,5,5,25
628,657,13,6,21
659,676,3,5,1
641,652,14,25,5
1408,1408,10,10,15
1006,1023,10,16,2
1130,1134,21,11,10
911,934,27,1,2
11,43,5,8,27
237,258,9,22,9
1227,1227,4,4,3
229,240,25,21,18
124,141,3,5,15
717,735,14,29,1
433,452,8,16,15
490,504,7,27,21
1317,1328,25,24,25
477,501,3,6,1
1021,1039,30,14,2
800,811,11,17,5
905,920,13,17,23
924,940,27,9,27
1248,1271,28,6,12
1398,1406,22,21,7
286,311,6,2,3
259,280,11,16,29
621,636,8,10,11
453,495,11,7,26
914,933,9,17,22
542,559,8,18,13
883,898,19,2,4
1100,1124,6,17,15
70,80,18,12,29
395,426,3,20,25
375,398,8,30,9
1084,1090,1,18,13
934,963,13,6,14
722,742,20,27,15
859,859,22,22,22
257,273,16,9,14
811,826,21,14,17
461,471,24,24,1
603,615,28,23,9
1253,1277,18,4,19
59,61,18,10,1
1393,1410,29,2,24
423,430,19,17,24
1147,1158,25,24,5
91,121,3,16,25
961,990,15,22,19
1368,1373,14,16,5
658,680,2,8,17
238,263,23,6,5
1366,1409,7,6,28
70,80,12,18,24
1422,1445,17,20,12
373,379,16,25,17
804,818,9,2,10
32,38,25,16,18
1145,1168,28,6,8
153,171,11,2,4
1061,1061,5,5,28
1011,1031,23,26,19
962,991,7,14,9
869,892,16,23,25
711,724,30,16,1
616,640,4,18,29
242,269,5,2,31
1209,1231,11,9,9
478,497,29,8,4
1298,1312,14,8,15
1065,1089,23,20,7
508,537,7,20,26
474,492,13,11,25
827,845,11,2,1
432,445,16,30,3
226,243,13,24,12
436,455,2,26,20
611,626,17,30,6
1411,1431,18,20,13
1398,1418,27,28,24
279,299,26,1,22
139,162,4,11,2
766,787,8,28,7
662,686,6,24,21
1014,1044,3,4,16
3,29,7,19,22
54,75,20,26,14
1189,1207,9,18,9
9,29,26,23,18
1389,1418,5,14,22
496,519,28,14,29
440,457,6,29,5
382,400,26,19,14
39,39,9,9,28
921,941,5,17,26
827,839,22,11,20
759,777,10,26,6
323,323,27,27,28
764,785,4,9,28
567,578,30,21,18
831,846,1,2,18
950,968,16,1,24
723,742,26,17,20
561,577,29,20,23
1063,1082,26,2,7
771,809,10,7,31
771,782,17,1,6
696,718,17,3,22
1415,1431,26,16,11
537,562,8,7,4
79,84,4,27,12
1169,1187,25,10,30
308,328,26,28,23
508,529,20,22,24
1401,1420,5,24,8
102,123,9,20,5
1311,1327,20,19,4
141,155,26,12,7
622,640,13,25,26
12,20,26,27,27
515,540,6,2,28
1259,1280,4,19,31
853,868,2,13,4
1080,1101,22,9,19
81,104,17,20,19
1311,1321,13,12,6
192,212,16,29,20
222,238,16,9,1
835,863,27,23,13
19,33,2,9,25
398,409,23,3,11
1350,1376,7,19,7
957,984,3,2,2
1368,1388,20,18,5
132,157,2,6,13
526,534,29,18,13
1336,1356,23,26,7
1138,1151,11,3,10
1238,1256,25,13,24
1392,1398,1,12,30
479,513,7,30,14
172,172,7,7,12
1371,1396,6,23,11
651,670,21,20,26
1192,1218,19,7,10
289,309,17,5,24
794,807,16,30,8
419,436,13,18,13
9,22,30,16,10
271,290,14,27,14
45,53,29,23,18
474,486,19,16,18
136,158,25,28,2
510,528,1,19,3
1347,1369,9,11,26
327,335,12,11,20
538,554,30,18,15
838,865,14,6,25
173,204,9,3,23
282,293,25,24,7
1107,1139,24,3,21
162,205,7,6,21
931,948,6,19,8
924,926,12,29,5
643,673,7,25,31
101,101,16,16,28
1400,1418,28,10,20
916,924,9,26,23
954,967,22,23,27
399,414,22,10,2
406,414,10,1,7
566,583,13,20,18
500,518,9,18,11
262,283,22,9,25
1075,1091,13,1,9
1205,1220,4,28,24
169,186,12,8,1
265,286,5,20,29
879,918,18,7,16
790,822,24,3,5
148,168,28,26,30
857,863,21,23,13
288,311,1,27,21
128,166,21,7,6
1255,1268,30,5,30
170,182,28,1,23
2,18,16,9,31
1347,1377,3,4,23
394,416,6,22,24
385,412,3,2,10
970,997,2,5,8
58,80,16,6,18
295,311,16,26,2
483,500,8,12,24
835,848,22,30,6
372,401,15,22,10
790,799,18,23,4
727,742,2,13,28
802,826,29,27,18
360,381,19,5,18
1385,1425,20,15,7
1177,1196,4,21,27
129,147,26,19,4
175,197,21,24,13
260,281,20,9,15
204,242,29,7,31
395,417,20,10,2
908,925,16,10,20
385,399,29,25,19
1296,1322,19,27,26
466,476,20,20,2
721,746,19,3,18
1168,1184,26,29,12
536,557,20,9,13
1317,1341,15,29,24
408,445,15,24,8
52,73,19,4,17
468,468,9,9,29
1009,1019,14,20,16
639,659,21,6,6
1361,1385,6,17,16
573,594,24,9,7
905,917,16,13,1
471,494,1,8,17
418,439,8,28,6
11,34,30,4,27
361,371,18,12,3
594,624,19,15,27
1130,1159,5,9,16
681,706,2,6,29
521,557,2,15,22
864,873,11,10,15
1406,1455,3,7,12
878,902,16,27,17
443,475,5,8,6
648,670,10,20,29
540,566,13,7,12
6,44,8,15,15
1411,1430,10,13,18
1433,1438,4,27,1
483,483,21,21,19
1423,1440,3,5,7
708,728,28,26,23
1428,1449,5,19,28
537,555,13,25,25
1069,1076,29,17,9
251,270,12,6,17
1224,1233,18,11,10
1262,1300,21,7,28
1016,1032,4,17,8
256,280,5,16,9
81,81,22,22,29
1157,1176,20,21,16
781,781,18,18,30
908,908,21,21,2
591,613,26,25,9
1255,1278,14,28,16
112,123,23,17,29
937,958,4,9,5
1281,1285,1,29,7
178,192,8,14,9
624,642,1,16,17
836,849,30,16,31
818,834,17,4,18
57,65,29,18,5
252,274,17,3,16
39,46,29,11,22
733,755,11,9,30
361,385,24,6,25
831,863,5,15,2
1044,1067,5,11,16
1110,1133,20,17,27
1185,1220,15,14,20
847,859,22,17,15
468,490,10,20,5
1255,1280,7,8,9
740,748,14,2,28
412,434,23,8,27
598,598,25,25,23
876,893,6,29,25
1380,1395,17,13,23
1329,1335,12,23,3
1263,1294,3,9,7
264,286,22,6,19
989,1009,18,26,27
632,633,21,1,26
205,221,16,26,23
394,416,13,19,7
469,469,23,23,18
1425,1446,5,20,6
247,269,24,8,29
1138,1139,28,17,16
951,970,16,8,28
389,406,9,25,21
555,581,19,9,16
1432,1453,26,24,3
258,269,14,9,16
1198,1219,22,20,22
1308,1345,27,6,12
814,832,10,25,21
261,285,6,24,31
22,32,29,10,25
1334,1344,24,24,8
1315,1335,10,2,5
905,934,5,14,22
783,807,15,29,20
419,456,27,5,23
1337,1380,22,7,9
526,539,22,30,31
933,947,21,2,5
1430,1439,11,18,27
772,791,8,29,20
528,551,4,11,25
595,613,19,1,30
750,774,14,4,22
8,35,2,7,15
29,55,27,19,3
1382,1403,22,9,30
600,638,15,8,15
629,644,12,5,3
918,935,22,13,6
374,391,3,5,9
848,886,15,8,21
1186,1205,24,7,1
1218,1241,8,1,7
194,228,7,30,6
439,453,17,24,10
250,269,22,19,29
426,456,4,3,24
636,655,14,27,17
1159,1166,12,22,29
734,753,20,1,13
649,685,15,26,18
384,395,23,17,18
532,550,19,25,31
657,686,27,24,27
366,372,25,16,3
590,617,2,3,1
1111,1122,8,27,11
733,745,11,22,22
684,704,28,9,4
193,200,23,10,4
994,1010,17,4,24
1306,1335,22,27,5
831,860,13,6,30
1293,1300,29,17,19
215,230,10,8,4
1406,1415,11,18,21
1088,1111,30,8,1
1136,1150,27,7,23
728,746,4,1,6
905,932,15,17,30
378,405,5,2,21
251,262,21,25,15
995,1006,25,21,12
1338,1356,11,15,6
1428,1449,26,24,7
36,68,28,7,10
1009,1034,22,16,27
655,673,16,1,5
236,274,8,15,25
289,310,17,25,4
1432,1459,10,5,27
502,524,10,20,14
638,668,25,27,26
33,51,4,1,4
1399,1420,16,11,24
624,637,28,24,30
906,946,23,7,28
1228,1249,28,2,28
426,458,5,15,31
1178,1199,6,1,8
30,36,23,12,1
740,763,4,2,21
711,729,18,2,28
755,773,19,26,14
894,924,9,7,20
196,214,25,13,16
332,357,18,15,24
1240,1247,21,10,28
924,939,8,10,1
1368,1377,22,1,26
1030,1053,23,16,10
959,973,7,27,7
558,572,17,24,5
141,158,25,23,31
917,942,24,4,22
1068,1068,18,18,11
208,245,6,27,18
262,280,11,15,15
1373,1409,5,4,26
1432,1432,29,29,15
1084,1103,26,17,1
689,713,3,25,24
60,76,14,1,5
212,250,7,5,31
351,380,5,9,15
462,476,28,30,13
369,375,25,16,12
1273,1300,5,10,1
287,327,20,15,8
799,819,18,24,10
1122,1143,9,4,16
948,967,13,10,6
163,163,16,16,25
1046,1059,22,28,16
923,950,10,5,16
1137,1149,16,19,13
49,54,16,14,1
133,155,28,20,18
959,991,15,13,22
392,403,25,14,10
1363,1401,7,10,3
320,331,8,27,5
1146,1156,18,14,8
1362,1400,8,15,18
1070,1094,27,21,25
634,657,15,10,4
406,420,25,29,25
181,213,5,8,30
12,34,11,9,17
84,106,26,11,6
38,60,23,8,18
804,823,7,4,29
642,664,21,15,30
867,869,11,23,2
1270,1289,25,30,17
1316,1332,29,3,30
1026,1038,17,22,10
877,899,21,15,28
1388,1408,1,26,22
412,436,27,21,27
1410,1412,18,10,5
545,568,28,3,23
1119,1152,9,6,13
440,459,21,26,13
938,973,27,3,13
302,310,9,26,17
652,695,6,7,13
400,424,30,3,14
1244,1280,15,9,25
659,695,15,2,12
212,224,19,16,19
98,105,23,10,26
348,365,8,18,12
1205,1211,23,12,27
546,566,23,2,29
148,162,29,19,16
1165,1172,6,5,31
82,112,19,15,25
671,671,28,28,14
569,574,1,11,31
1146,1158,19,19,21
1145,1162,23,25,3
1081,1113,8,6,11
434,455,28,2,2
1042,1070,28,15,4
700,700,13,13,7
208,246,7,10,25
742,757,30,17,22
122,127,1,11,31
1237,1260,14,22,18
133,135,10,18,22
1018,1040,12,27,10
1320,1336,27,9,1
1025,1043,18,2,6
1035,1053,4,1,21
757,793,5,4,11
103,127,17,6,7
843,864,28,5,1
502,513,14,26,23
664,675,28,21,5
303,311,21,22,2
494,519,6,2,10
1387,1399,19,16,13
378,399,4,9,23
610,631,28,5,1
1297,1305,24,2,13
633,658,6,18,25
192,213,5,23,2
1203,1228,15,18,22
947,974,17,15,15
1372,1383,8,9,2
1354,1354,4,4,30
1053,1071,25,10,5
754,761,24,19,16
755,774,12,6,9
1253,1288,14,15,7
481,497,9,10,16
84,100,23,15,28
1040,1059,16,17,27
45,64,25,30,28
141,181,7,23,24
168,208,7,23,24
710,731,23,5,3
406,449,22,7,5
874,906,8,5,30
1108,1115,19,17,28
414,430,9,27,16
691,713,12,27,12
1164,1182,10,3,22
6,25,16,8,13
1401,1413,22,11,21
326,346,21,6,3
31,46,18,16,16
388,404,23,13,22
205,213,30,29,18
451,490,7,18,16
1328,1342,28,30,19
11,29,16,1,31
1439,1451,1,25,17
1107,1129,22,6,5
1129,1145,14,1,30
1198,1208,13,12,20
358,382,30,3,5
914,914,25,25,4
490,511,20,22,9
498,517,4,21,22
942,953,30,21,16
1048,1062,21,2,9
392,411,26,17,10
479,495,20,29,14
1024,1028,21,11,21
683,700,4,13,24
222,241,7,24,5
699,719,30,13,9
960,975,13,21,15
421,443,21,15,3
1018,1030,19,12,26
1239,1258,8,29,1
1172,1209,27,6,2
1181,1188,5,6,25
543,554,24,25,22
407,429,28,25,17
1335,1352,21,16,29
570,577,23,1,1
1260,1272,14,10,19
445,458,22,18,7
376,396,2,10,17
395,416,2,28,3
265,273,21,22,18
965,987,8,24,29
1428,1457,13,6,25
299,319,21,6,7
1229,1253,3,30,15
1283,1303,9,1,31
486,499,18,22,10
754,777,1,27,11
1331,1358,7,2,30
638,673,14,15,4
596,615,16,17,19
1027,1042,5,12,24
888,901,16,30,29
1204,1229,25,8,29
1221,1239,18,9,1
946,969,11,24,2
1142,1153,14,26,2
929,951,5,22,25
1192,1209,21,16,25
435,466,20,3,26
352,373,23,24,5
432,452,2,23,18
902,909,17,29,5
845,861,18,30,2
687,715,28,15,16
737,761,30,3,9
996,1019,1,24,9
1160,1190,16,3,9
1294,1309,18,16,3
417,434,13,20,27
414,442,18,27,20
1031,1031,3,3,18
1248,1265,12,3,20
1419,1468,3,7,10
172,204,3,24,19
812,827,20,4,21
1177,1199,26,11,11
659,688,5,14,3
1077,1099,26,7,13
715,732,20,13,17
724,745,20,9,11
292,299,17,19,4
202,219,6,29,19
345,358,5,30,21
710,720,20,20,24
7,24,16,21,26
647,647,2,2,20
1393,1405,17,22,6
1221,1245,30,26,24
1247,1268,22,26,15
58,80,2,22,16
356,356,6,6,26
1167,1184,10,17,1
257,273,18,28,21
797,801,21,11,21
86,106,18,26,4
855,874,22,25,26
883,898,14,21,20
241,274,8,3,8
1089,1110,23,24,10
1381,1389,29,30,11
461,500,15,16,21
232,243,27,8,7
992,1017,18,6,17
57,73,17,4,31
1094,1111,19,14,12
1036,1036,29,29,9
1104,1104,16,16,4
1012,1032,27,20,22
1126,1158,5,8,2
809,828,24,10,20
983,1023,23,7,21
104,160,15,7,27
757,786,24,27,3
545,570,13,5,7
788,809,8,28,7
131,136,12,17,19
715,731,20,29,24
1100,1115,2,19,22
685,705,20,18,13
707,727,28,27,25
181,200,20,1,30
609,627,1,4,8
417,428,8,27,16
245,245,12,12,21
810,859,7,3,6
1146,1172,7,19,17
1358,1382,27,16,8
1293,1321,28,15,16
965,973,9,26,6
714,727,3,21,21
195,224,14,5,31
1196,1212,19,18,20
94,119,5,13,18
1295,1317,17,2,24
807,830,28,14,31
587,606,29,8,10
370,377,17,19,18
101,114,28,22,17
891,898,1,23,20
127,142,17,13,13
639,649,13,12,1
214,233,7,4,23
646,660,25,29,8
49,53,13,26,31
209,212,26,8,6
151,168,23,25,18
93,107,26,12,22
970,984,26,12,4
691,712,17,25,7
213,220,21,10,5
389,411,22,2,1
673,680,21,10,4
1004,1022,20,12,5
969,976,11,29,18
780,806,27,10,22
686,708,15,12,20
1194,1206,11,28,2
499,523,14,4,13
278,291,30,16,4
1305,1313,30,29,3
548,565,21,19,8
1099,1106,29,17,11
494,525,3,26,28
632,653,9,24,12
166,190,24,6,2
1185,1193,20,2,12
8,30,11,9,12
1261,1276,5,12,6
11,33,29,4,9
1062,1089,2,27,20
864,893,14,5,28
377,397,30,13,28
1376,1398,9,11,16
1040,1070,7,25,20
337,361,15,29,30
954,965,9,14,2
1096,1112,19,18,4
439,450,24,25,31
481,503,8,23,25
701,724,14,28,19
1271,1303,6,8,16
510,535,6,2,15
926,951,18,15,13
170,197,5,2,23
348,353,22,29,2
510,527,12,3,7
1418,1431,30,5,16
643,651,29,30,13
779,783,13,26,5
939,950,14,9,23
94,111,21,19,21
1208,1226,10,30,29
1096,1096,5,5,3
239,245,12,23,4
1057,1068,25,20,10
69,88,11,14,3
713,735,8,23,8
592,606,19,29,21
139,139,21,21,9
1418,1435,14,19,8
733,764,26,3,10
35,46,9,8,7
6,21,21,14,19
1308,1326,10,26,12
177,184,17,29,22
975,980,22,29,1
1243,1251,29,28,18
358,374,30,23,22
377,381,21,11,8
15,33,14,29,9
1249,1272,11,4,30
1046,1067,20,5,17
129,139,24,24,1
94,109,18,17,8
557,572,14,21,18
798,816,2,11,1
693,729,7,12,8
608,640,8,5,31
1270,1289,29,8,14
248,270,17,2,10
337,349,10,12,18
731,736,11,1,23
1046,1066,23,26,8
39,56,18,13,23
393,402,18,11,21
584,605,28,8,30
852,877,22,16,29
903,919,11,19,29
1188,1200,28,23,6
929,939,20,14,16
797,805,30,19,26
200,222,25,28,19
951,975,5,16,19
299,323,6,17,30
287,308,20,5,30
41,59,2,11,3
616,619,25,2,5
577,595,16,28,27
772,795,22,14,1
241,263,12,27,10
799,819,26,1,27
194,232,7,5,4
1248,1280,15,5,4
179,197,13,11,20
63,74,26,14,19
774,810,2,15,17
362,384,26,7,12
380,405,19,3,1
233,260,15,17,31
423,465,11,7,31
129,147,1,19,10
852,874,19,13,19
1086,1104,19,1,31
1164,1183,14,27,23
304,336,6,8,1
912,935,20,17,16
65,80,17,13,9
959,977,10,3,15
1026,1045,26,17,13
1319,1326,19,17,11
1342,1365,20,11,17
714,730,3,29,28
855,865,17,21,22
481,496,17,13,5
1378,1401,1,15,25
35,52,13,18,11
72,110,7,29,22
666,686,9,23,3
1208,1226,10,30,10
646,676,16,3,30
795,804,1,22,27
509,521,10,12,5
913,918,18,21,4
1435,1459,17,6,5
750,771,4,19,8
1163,1176,30,5,7
940,953,30,22,6
540,548,21,22,7
1218,1230,13,27,18
372,396,6,17,10
880,929,7,3,5
748,767,11,14,31
847,853,18,1,5
690,723,17,7,21
399,416,20,6,26
694,714,18,26,2
1158,1191,6,26,27
908,921,28,22,1
1406,1414,29,28,31
1321,1346,18,6,15
160,179,25,22,7
226,237,23,17,23
134,151,4,13,25
1410,1430,28,26,29
268,295,2,7,17
459,470,14,9,25
395,420,22,16,22
202,223,9,22,2
1204,1229,6,18,25
339,343,13,9,16
638,656,3,10,11
802,822,16,4,21
239,259,5,21,19
770,770,3,3,15
983,1004,22,26,2
66,86,10,2,3
1242,1262,5,17,21
1242,1285,7,22,4
828,837,18,23,3
605,615,29,10,7
165,181,29,26,17
437,481,27,15,2
20,24,1,29,22
45,61,4,8,17
1437,1470,6,26,22
428,447,14,27,6
95,99,1,29,27
1064,1086,20,28,9
17,34,8,12,6
1137,1164,5,2,23
120,145,4,23,28
196,209,24,28,22
121,139,25,13,29
235,241,12,28,6
630,632,18,10,11
45,61,26,29,27
811,820,30,6,15
518,525,23,1,18
964,976,10,14,16
500,509,30,6,12
711,730,10,24,26
1,20,1,20,18
1427,1448,4,19,10
1314,1333,19,22,24
700,711,14,25,17
1403,1426,16,23,4
1074,1093,29,8,2
1328,1342,10,19,5
973,985,28,1,21
309,332,5,11,16
883,905,14,17,30
927,940,30,16,31
167,196,9,5,21
1359,1383,9,30,8
1376,1396,18,20,21
728,745,8,18,2
349,363,27,7,22
1288,1303,3,15,12
435,438,16,2,21
293,316,5,11,12
1271,1311,7,23,11
1388,1432,27,15,29
216,229,21,3,9
365,385,10,2,21
516,531,30,11,13
899,916,29,2,19
166,178,13,27,3
378,390,28,1,7
926,944,11,2,20
1117,1126,10,11,18
811,839,25,6,30
562,562,21,21,27
1373,1378,20,16,19
1365,1375,18,14,31
1174,1174,18,18,24
432,470,10,7,1
982,1001,25,22,6
931,946,14,21,31
